  W3/D0/L3/E0  pub_lucifer19_battlecore [archaludon_or_alakazam_challenger]
  W3/D0/L3/E0  pub_map1e_tank [crustle_tank_q]
  W3/D0/L3/E0  pub_prvsiyan_alakazam_v21 [alakazam_ladder_v21]
  W3/D0/L3/E0  pub_skarin_dragapult [Dreepy]
  W3/D0/L3/E0  public_makthanithin_1084 [baseline]
  W3/D0/L3/E0  public_ryotasueyoshi_best5 [alakazam_control]
  W3/D0/L3/E0  sweep_stealthtechnologies_dragapult [Dragapult]
  W1/D5/L0/E0  sweep_yukichacha_venusaur_v2 [Bulbasaur]
  W4/D0/L2/E0  pub_harukiharada_wall [crustle_wall_pub]
  W4/D0/L2/E0  pub_jazivxt_garchomp_gpu [garchomp_gpu]
  W4/D0/L2/E0  pub_kityugin_mega_lucario [mega_lucario_kityugin]
  W4/D0/L2/E0  pub_prvsiyan_alakazam_ladder [alakazam_ladder_disruption]
  W4/D0/L2/E0  pub_prvsiyan_tusk1208_v24 [tusk_crustle_lo_mirror]
  W4/D0/L2/E0  pub_raunakdey07_advanced_heuristic [advanced_heuristic]
  W4/D0/L2/E0  pub_souta_elo1208 [crustle_great_tusk_libraryout]
  W3/D3/L0/E0  sweep_yukichacha_venusaur_v1 [Bulbasaur]
  W5/D0/L1/E0  pub_aman_crustle [Riolu]
  W5/D0/L1/E0  pub_aristophanivan_improved_prob [probabilistic_expectimax]
  W5/D0/L1/E0  pub_borealis27_elo1150 [Mega Lucario ex]
  W5/D0/L1/E0  pub_emanuellcs_deckaware [Dreepy]
  W5/D0/L1/E0  pub_jazivxt_rising_tide [fixed_metal_v15]
  W5/D0/L1/E0  pub_kiyotah_abomasnow [abomasnow]
  W5/D0/L1/E0  pub_mechi22_alakazam_skeleton [alakazam_skeleton]
  W5/D0/L1/E0  pub_multiply_940 [Riolu]
  W5/D0/L1/E0  pub_naoto714_rocket_kangaskhan [rocket_kangaskhan]
  W5/D0/L1/E0  pub_sue124_alakazam [alakazam_fast_setup]
  W5/D0/L1/E0  pub_sushanth_alakazam_hybrid [alakazam_hybrid_ladder_like]
  W4/D2/L0/E0  pub_yukichacha_venusaur [Bulbasaur]
  W5/D0/L1/E0  public_naoto714_archeops_draw_v1 [archeops_devolve_fighting]
  W5/D0/L1/E0  sweep_zoli800_dragapult_tempo [Dreepy]
  W6/D0/L0/E0  llccqq624_marniebelief [darkness_marnie_munkidori]
  W6/D0/L0/E0  lp_masat_tank_crustle [crustle_tank_heal]
  W6/D0/L0/E0  own_v17a_mirror [crustle_great_tusk_lo_mirror]
  W6/D0/L0/E0  pub_dedquoc_rule_engine [generic_rule_engine]
  W6/D0/L0/E0  pub_jazivxt_archaludon_metal_gpu [archaludon_metal_gpu]
  W6/D0/L0/E0  pub_jazivxt_crustle_counter [crustle_counter_al220]
  W6/D0/L0/E0  pub_naoto714_kangaskhan_turn2 [rocket_kangaskhan_turn2]
  W6/D0/L0/E0  pub_prvsiyan_grimmsnarl_bc [grimmsnarl_darkness_froslass]
  W6/D0/L0/E0  pub_romanrozen_v10 [Mega Lucario ex]
  W6/D0/L0/E0  public_masamikobayashi_cynthia_garchomp_v1 [cynthia_garchomp_fighting]
TOTAL: W204/D10/L104/E0; completed=318/318; WDL=65.7%
out=/private/tmp/ab16j/full/asis_all.json
meta=/private/tmp/ab16j/full/asis_all.json.meta.json
